type,id,status,description,amount,account,balance,direction,class,institution,postDate
transaction,46c01dfa-a3c3-472a-9d2f-760d2f91959c,posted,Bookstore Purchase,-1127.41,1e0f1fd2-26f7-4365-92bc-cba44b260bf4,-13873.52,debit,bank-fee,AU00000,2023-06-02T20:16:35Z
transaction,c501e1f6-a43b-4aec-b879-b90c2d7a4f2a,posted,CTRLINK CARERS Ref: 998R6789201610974V,-178.18,fe9ecc6c-974f-4595-ab0e-5c4cf5e6e868,-14051.7,debit,cash-withdrawal,AU00000,2023-09-18T08:13:41Z
transaction,f498906b-1082-42db-8d68-2fc999efb1ec,posted,Music Streaming Subscription,-1255.13,31c8ee23-3b97-4c88-9850-c4bead6a24f9,-15306.83,debit,bank-fee,AU00000,2023-11-09T15:20:15Z
transaction,e7a44654-11de-43a0-a832-14375f7311fe,posted,Bookstore Purchase,-2238.14,cd915595-32d5-44ff-bd93-e906ddf3fe70,16224.86,debit,bank-fee,AU00000,2024-01-09T00:30:12Z
transaction,454d6725-0561-4a41-b06a-463fae8a84dd,posted,Netflix Subscription,-574.48,3b937fc9-0208-4acb-bebf-2639a93a1b1b,15650.38,debit,payment,AU00000,2023-06-27T18:49:30Z
transaction,e1407647-745d-46f5-8831-e6b2e09319c0,posted,Public Transport Fare,-2313.95,7313fe56-818b-406e-aee9-f1926754ccaa,13336.43,debit,bank-fee,AU00000,2024-02-17T13:47:14Z
transaction,a384aecd-7c04-452a-97ca-02c5f012aed0,posted,Payroll WFRMS 15439393,10240.06,c37a473e-d74d-4043-9545-a66c2ba3fb07,23576.49,credit,transfer,AU00000,2023-11-01T02:00:19Z
transaction,36e3f49a-837b-40c3-a93a-03bb54ee5be7,posted,Gym Membership Fee,-4701.76,9d5a3380-2a19-4371-a08e-7cc0d81880b8,18874.73,debit,payment,AU00000,2023-09-27T05:26:38Z
transaction,c0f99202-3d29-465a-8241-b82b6a317799,posted,Online Gaming Purchase,-2941.79,f59f9170-f867-4221-9f53-b21eff2bdad7,15932.94,debit,payment,AU00000,2023-11-27T04:02:45Z
transaction,56cdb458-9d77-409f-8865-8a538c9f574a,posted,AGL RETAIL ENERGY LTD (GAS),-2108.93,ffda0dd6-c066-48bb-9250-42bd826cb95e,13824.01,debit,cash-withdrawal,AU00000,2024-02-01T17:50:37Z
transaction,4e47d385-0c2e-4bdf-aa13-eebe4f706fd5,posted,AGL RETAIL ENERGY LTD (GAS),-867.29,b35c4fd8-2a49-4ba2-b4e9-3260166fc412,12956.72,debit,payment,AU00000,2023-10-12T05:07:33Z
transaction,e55b1048-1afb-47d1-8d1f-659a02674388,posted,Movie Ticket Purchase,-1641.15,9b9c2d02-3cb9-4149-8ff4-10407c60b032,11315.57,debit,payment,AU00000,2024-01-15T13:05:21Z
transaction,a1e092d3-4d81-413b-8f37-ce4eac108022,posted,Car Maintenance Expense,-376.33,48d0fab2-e27e-43e2-9517-76ebd33debed,10939.24,debit,bank-fee,AU00000,2024-03-12T04:31:13Z
transaction,81452fbc-2d7c-4cff-b1f0-bd35f55ded74,posted,Public Transport Fare,-838.01,72d05b64-f4eb-4adb-bb29-2a7eda967fe9,10083.88,debit,bank-fee,AU00000,2023-12-01T03:36:49Z
transaction,4f1d192c-1dd1-49c4-a282-3ad34789fe1d,posted,Transfer Platnm Homeloan 346454,-875.48,f0b00429-2be1-40e2-9d93-ab941a867658,9208.4,debit,payment,AU00000,2024-05-01T05:17:35Z
transaction,884fe541-57e8-4778-a059-2b1330b94755,posted,CTRLINK CARERS Ref: 998R6789201610974V,-2521.58,626a6047-2ef1-4bac-9ed2-6064a44cd441,6686.82,debit,payment,AU00000,2024-04-08T14:59:15Z
transaction,0433ba18-90c6-4468-9b4d-2c8bdb6b5799,posted,Payroll WFRMS 15439393,11989.6,d854398d-854c-41d6-b853-3037ff40c8fc,18676.42,credit,transfer,AU00000,2023-05-27T18:41:45Z
transaction,a01332dd-8854-464a-b02b-241b45584d49,posted,Bookstore Purchase,-4702.6,ce49f3be-4468-4597-ade9-8ce533f8c530,13973.82,debit,bank-fee,AU00000,2023-12-08T14:55:11Z
transaction,6867e158-118f-481b-915e-4e391744b890,posted,Home Improvement Store Purchase,-1325.57,bf0ae754-4181-42bb-80e8-99c4bee988eb,12648.25,debit,bank-fee,AU00000,2023-10-13T03:58:19Z
transaction,cfdb9b0a-c53d-43b4-b007-003ec8a5cd47,posted,CTRLINK CARERS Ref: 998R6789201610974V,-1511.25,3e621be2-347a-4503-a6d5-2976234405b8,11137.0,debit,payment,AU00000,2024-04-05T00:13:53Z
transaction,0e25c8ef-0ae8-4ac7-b43d-fec1a1df4647,posted,Payroll WFRMS 15439393,10663.97,0e14bb9d-9304-4b29-b7ab-a53a8f5040f6,21800.97,credit,transfer,AU00000,2023-10-17T02:49:37Z
transaction,083f59c3-402e-46e9-8c31-d3d03201aceb,posted,Amazon Online Shopping,-4037.22,207e71bb-3892-4aba-8aa5-b66765e070e3,17763.75,debit,payment,AU00000,2024-04-16T21:11:53Z
transaction,247b8162-939b-4d16-a850-38f3015bdae8,posted,Travel Agency Booking,-3859.7,3a9e80e4-18b7-4c50-9c1f-704401d6693e,13904.05,debit,bank-fee,AU00000,2024-03-26T13:45:30Z
transaction,73dcfa77-5c80-45f2-881e-c58fba376f2a,posted,Uber Ride,-3452.91,972638e9-b987-4549-9f51-1cc62e4818d7,2289.29,debit,cash-withdrawal,AU00000,2023-10-01T14:00:18Z
transaction,2a15f423-a630-4b4e-9934-141c5ba2d6a4,posted,Clothing Store Purchase,-3802.93,7277381f-c601-487d-8e4a-adf765cde980,-1513.64,debit,cash-withdrawal,AU00000,2023-12-24T02:02:38Z
transaction,9e9680c5-3d10-48a6-aab7-e10f37d78b7b,posted,Movie Ticket Purchase,-3408.26,b76909b2-0ddf-433c-b2c5-dd5a4558cabd,-4921.9,debit,cash-withdrawal,AU00000,2023-09-22T10:29:04Z
transaction,d6c14c2f-f9c3-4e37-8aa2-8ce5d1dd3a0a,posted,Bookstore Purchase,-2280.99,c03688e5-0930-4cc7-b1a6-1eefdf353989,-7202.89,debit,bank-fee,AU00000,2023-08-30T22:19:29Z
transaction,d20cfcf9-397a-4ca9-82d9-c95b7728cf8f,posted,Gasoline Purchase,-4596.9,1b4e0f5c-a914-4a25-88ce-c4406f4eda25,-11799.79,debit,bank-fee,AU00000,2023-07-28T03:49:52Z
transaction,f50a9f09-59fc-4f81-8cf6-d3f1c512b8ac,posted,Transfer Platnm Homeloan 346454,-155.76,4d8fb5ef-33f0-41e1-a079-28b51dad8f79,-11955.55,debit,bank-fee,AU00000,2023-06-01T14:48:57Z
transaction,42fb9626-3f40-4baf-9f6d-ab973357a2c3,posted,Mobile Phone Bill Payment,-1250.62,a3adc476-1f54-459b-91d1-01decbaed128,-13206.17,debit,payment,AU00000,2023-08-23T18:45:42Z
transaction,23e7fc9a-95e7-46a7-9b8f-3a7044bf5d72,posted,TFR Acc14000 TO 12389,-3785.24,e78be00f-0ef8-4be7-898e-e6387f45855f,-16991.41,debit,payment,AU00000,2023-08-31T09:06:19Z
transaction,3aa62a49-6fda-4467-8006-3419cf1514aa,posted,Non Hooli ATM Withdrawal Fee,-2744.2,8ceb969c-834b-498e-b5a7-a3c994449eba,-19735.61,debit,payment,AU00000,2023-05-12T06:41:30Z
transaction,912c21a0-4cb5-42ca-bb65-912772d6ef3c,posted,Mobile Phone Bill Payment,-1575.24,9c01aa2c-d4f3-4303-be09-359939af487e,-21310.85,debit,cash-withdrawal,AU00000,2023-12-11T18:50:25Z
transaction,134ee5cb-c8ff-4421-a09a-d9caff741b89,posted,Uber Ride,-1463.5,ba1d1de3-28aa-4573-b482-f77cc7729069,14090.04,debit,bank-fee,AU00000,2023-08-22T09:35:44Z
transaction,44dfc76c-3eae-44c7-84c4-f800840c992b,posted,Restaurant Dinner,-2841.99,0144d6eb-e763-4488-bb30-18bec68cf3a5,11248.05,debit,bank-fee,AU00000,2023-11-04T01:01:51Z
transaction,a30f637c-dc76-4f06-8511-ff6289187520,posted,Uber Ride,-2601.72,453b65f7-870f-4058-892a-ded87de8b691,8646.33,debit,bank-fee,AU00000,2024-02-03T06:18:09Z
transaction,5c03c857-20ee-48f8-b0b8-40bd4f9f75e6,posted,Electricity Bill Payment,-4504.71,748be773-e40f-4df5-b896-4d0c6a0de0d8,4141.62,debit,payment,AU00000,2023-05-12T22:20:52Z
transaction,1b16d1d1-978d-4d10-bd38-8f740edef15f,posted,Electricity Bill Payment,-2273.58,0512068f-bb37-44ad-bb9c-8ada588ff5d5,1868.04,debit,cash-withdrawal,AU00000,2024-02-20T15:00:06Z
transaction,f9798970-c249-4954-8790-bfe23bef1c8d,posted,Non Hooli ATM Withdrawal Fee,-1886.91,15de9633-be29-44b6-8871-e9d21fa0aaa9,-18.87,debit,payment,AU00000,2023-12-02T01:52:31Z
transaction,359c7a7a-3f64-455e-931c-13ee4bdd85af,posted,Restaurant Dinner,-3514.78,8b7617ab-e275-4bba-8da9-3f5e59206205,-3533.65,debit,cash-withdrawal,AU00000,2023-11-30T06:25:22Z
transaction,20893d75-3313-4494-8dfc-c311422f6aab,posted,Manly Maths Tutor Wages,-4228.35,cfc84abd-2157-4bc2-82dc-3cc7d732027c,-7762.0,debit,bank-fee,AU00000,2023-06-05T14:16:56Z
transaction,62ed1c35-8015-4cde-9a22-fab0a9b9986c,posted,Clothing Store Purchase,-2831.07,c6b6bfea-b675-4bf7-a619-33176e5ad157,-10593.07,debit,cash-withdrawal,AU00000,2023-09-22T20:39:31Z
transaction,d935f358-6217-43eb-b430-6f4bec9c99c8,posted,Car Maintenance Expense,-3382.96,c6dad870-33f7-413b-9c4e-a05d8aeccfc5,-13976.03,debit,payment,AU00000,2023-12-29T23:40:56Z
transaction,32b1ec10-a42c-46fe-8cf9-b2c9e10626fe,posted,Electricity Bill Payment,-2375.05,aec82c26-1d93-4a04-b35b-1225aaf8c89d,13559.04,debit,cash-withdrawal,AU00000,2023-05-28T04:09:47Z
transaction,d7ec0d44-3d9d-47b8-bb2c-f4f4d1637f8c,posted,Home Improvement Store Purchase,-69.66,f9bc1ba8-cb08-4e30-bbc5-bc177e801a8c,13489.38,debit,bank-fee,AU00000,2023-05-21T04:13:12Z
transaction,81e63235-61ce-48d7-a4bd-2c628c4aef14,posted,Restaurant Dinner,-3377.14,2ca892f9-d312-4039-a769-0e793e606dbc,10112.24,debit,payment,AU00000,2024-02-13T02:44:51Z
transaction,0503dfde-eee9-4e64-a8ff-1ee1a17532ea,posted,Netflix Subscription,-2188.35,b59c92fa-5028-4da8-84e3-f6dbf933c46a,7923.89,debit,payment,AU00000,2023-06-20T20:23:33Z
transaction,0e7218fd-57b4-41b1-9932-9f2e7d9a3c06,posted,Electricity Bill Payment,-1499.12,1d43ebed-f489-4c0e-b1ae-2f1032362e4b,6424.77,debit,bank-fee,AU00000,2023-09-25T07:15:27Z
transaction,a806fc47-02d9-471f-854e-50590a4e74bf,posted,TFR Acc14000 TO 12389,-2016.75,24579ce2-0f6a-48e4-b92e-02114162bbfe,4408.02,debit,bank-fee,AU00000,2023-07-13T23:35:55Z
transaction,0c381643-a648-4ef2-adc0-0a520d55c3ff,posted,Movie Ticket Purchase,-877.14,07c6a5c3-af53-4b2f-922d-92b64bb634ad,3530.88,debit,cash-withdrawal,AU00000,2023-08-14T03:07:43Z
transaction,a823052f-bfab-4e37-9298-d36c075199d5,posted,Bookstore Purchase,-3187.29,a41cc31c-6998-4f18-877e-2c5ede6ad0f6,343.59,debit,bank-fee,AU00000,2024-03-06T13:54:52Z
transaction,0f073da3-e241-43d1-ab4f-3ff7a2533a6a,posted,Pharmacy Purchase,-4807.97,c03b8d09-b366-4a22-8710-727f6ac5aafd,-4464.38,debit,payment,AU00000,2024-01-05T21:19:31Z
transaction,6ea7e85d-d106-4e47-aa51-e405bb2b2587,posted,Netflix Subscription,-969.96,a27c6577-6481-4a83-adf5-b48c3296ac54,-5434.34,debit,cash-withdrawal,AU00000,2023-07-08T06:06:46Z
transaction,14e86cc2-4b8a-4a99-8921-234b4162088a,posted,Bookstore Purchase,-2323.17,95791ce9-6432-4354-be42-a19d83382e1d,16379.53,debit,bank-fee,AU00000,2023-05-18T08:33:08Z
transaction,2d9d4631-e8f7-48e6-b1c2-d067ddbf0ea9,posted,Gasoline Purchase,-571.69,a6992c65-f6de-474d-8324-a6f886c1490a,15807.84,debit,cash-withdrawal,AU00000,2024-01-27T08:20:55Z
transaction,2e803fa8-ce27-4215-8fc0-f5f05c078729,posted,Travel Agency Booking,-4808.02,a46d4eba-0393-4fa2-a845-b9941b6aab85,10999.82,debit,payment,AU00000,2023-07-08T16:37:39Z
transaction,b03d6869-917a-4508-9f0c-7099d39ecae1,posted,TRANSFER TO JOANNA SMITH CAMPING,-1220.6,70382a8c-44e2-4abd-a589-2a29606d078c,9779.22,debit,cash-withdrawal,AU00000,2024-03-21T11:58:36Z
transaction,458cfb9d-4ee7-4f1e-9302-5be4533c465e,posted,Payroll WFRMS 15439393,10576.69,af744244-9348-4de8-8252-06755b7b380f,20355.91,credit,transfer,AU00000,2023-10-26T18:03:56Z
transaction,b9975ab8-6879-4e2a-bf49-50fe50fb38fd,posted,Bookstore Purchase,-2356.82,819fcfe2-a8aa-4e4c-a7f2-68ad54798974,17999.09,debit,bank-fee,AU00000,2024-02-16T21:38:31Z
transaction,b6e157db-f98e-42cc-9b20-64358ae00703,posted,CTRLINK CARERS Ref: 998R6789201610974V,-4092.64,9249fe02-a722-471c-9667-7c02b1cb8c23,13906.45,debit,payment,AU00000,2023-08-19T14:08:10Z
transaction,7002f7ce-c87b-40d0-8b1d-0a4ea60e6f23,posted,Coffee Shop Purchase,-1478.19,832d8b60-10cb-422b-88c1-baf4efe1f9a0,12428.26,debit,payment,AU00000,2023-06-17T13:10:59Z
transaction,44347a12-0445-4aea-b1b7-814eaa723ee9,posted,Gasoline Purchase,-3604.31,ca56b12f-aaa2-4a00-83b4-86cd33047740,8823.95,debit,cash-withdrawal,AU00000,2023-09-19T08:21:46Z
transaction,e648e8b1-f966-484f-86c3-fd968518c385,posted,Uber Ride,-1920.02,fab817ef-21e6-47d0-81c3-13d2f379ce8e,6903.93,debit,payment,AU00000,2023-10-30T20:48:15Z
transaction,c71e3792-eb8d-471f-a57f-1cdebb2760f2,posted,Payroll WFRMS 15439393,10814.17,d2173d65-e5a9-4876-8010-00364f067139,27217.56,credit,transfer,AU00000,2023-06-16T08:39:47Z
transaction,1cff10e4-450f-4cf0-b88e-846e631d0953,posted,Hair Salon Appointment,-3884.27,5a77a327-fa90-4b1a-836e-e8c409a9f3d2,23333.29,debit,payment,AU00000,2024-03-03T00:05:49Z
transaction,dcdd1e44-470f-45ca-bf0e-75c0b0abd57e,posted,Amazon Online Shopping,-2750.01,917c4eb4-59c0-4784-ab29-e437ec28385e,20583.28,debit,payment,AU00000,2023-11-11T21:17:06Z
transaction,9f98e231-a1c4-4ca4-bdc9-9a12a2a61971,posted,Gasoline Purchase,-1274.38,74112027-6a69-4eb4-9b7e-6441e6533579,19308.9,debit,bank-fee,AU00000,2023-09-19T15:38:23Z
transaction,3b61fdb6-567b-4973-8da5-55b09057351d,posted,Gasoline Purchase,-634.06,3c94db75-2a55-43cd-8e5e-95dc6e7a9866,18674.84,debit,payment,AU00000,2023-07-07T03:29:03Z
transaction,fac9a9fb-6972-4edc-b054-8d868bc2c53d,posted,TFR Acc14000 TO 12389,-3214.26,1db4d43c-4f04-4dd2-9186-fea6a4e53b36,15460.58,debit,payment,AU00000,2024-03-24T15:26:03Z
transaction,0cec6575-b04c-4a67-bb51-619618db3962,posted,AGL RETAIL ENERGY LTD (GAS),-4356.52,3e00dd6d-0481-4535-a296-03b378380d97,11104.06,debit,cash-withdrawal,AU00000,2023-12-14T08:43:48Z
transaction,b566c9c1-d38e-48b1-a5ef-aa115dda34e5,posted,Transfer Platnm Homeloan 346454,-1832.38,1a21eda6-ee7f-4c21-b3d0-ba679413a488,9271.68,debit,payment,AU00000,2023-07-04T05:10:06Z
transaction,79450bfb-2dd9-492f-b5ae-1587cea5557a,posted,Bookstore Purchase,-4730.16,7d11ac3d-832a-4319-8ddb-44112e53b35c,4541.52,debit,cash-withdrawal,AU00000,2023-08-14T00:05:57Z
transaction,12640351-cb7c-4da9-b0c9-07b5e9b7d11d,posted,Online Gaming Purchase,-4729.96,fc7cdbfe-5508-474f-8ab4-367f5e50c0f2,-188.44,debit,cash-withdrawal,AU00000,2023-07-13T00:11:54Z
transaction,82cb57fb-7bb3-4643-bd5b-65c0d3c94967,posted,AGL RETAIL ENERGY LTD (GAS),-544.09,1f1d77c7-92a0-460f-bc0d-cc7baa097c8b,17711.46,debit,payment,AU00000,2023-07-25T18:59:28Z
transaction,aa8aa672-aa1e-44a8-ba97-ca0f1d23f7e0,posted,Amazon Online Shopping,-2313.87,542b4764-d0d1-450f-b0a3-de54e89ca496,15397.59,debit,cash-withdrawal,AU00000,2023-08-19T09:19:08Z
transaction,f86d47e9-24a1-4f98-815d-379c10f1332a,posted,Amazon Online Shopping,-391.98,3f012802-09d7-4a8d-8ba9-738b098cd5db,15005.61,debit,payment,AU00000,2023-08-28T14:01:41Z
transaction,1f7dcab9-8258-4f4e-b5f1-d0c6a39160b1,posted,Gym Membership Fee,-321.46,4246ceb7-f5b9-4b3a-bd2f-ec09480eadea,14684.15,debit,payment,AU00000,2023-11-21T10:29:59Z
transaction,883dcd4d-d234-4682-b0d4-430c10d17658,posted,Travel Agency Booking,-4539.35,6f85f83e-5276-4fd3-ab18-84e092383947,10144.8,debit,bank-fee,AU00000,2024-04-22T01:58:01Z
transaction,d98320da-93fd-431d-926c-86127c2abe40,posted,AGL RETAIL ENERGY LTD (GAS),-1844.71,c308ae7c-245c-4415-a81c-6a094c4c920e,8300.09,debit,bank-fee,AU00000,2023-09-28T04:45:41Z
transaction,7774af0e-c8e1-4fec-ae4d-c1e95e3ee1c1,posted,Bookstore Purchase,-631.54,cb773dac-76d3-422f-ad1e-32bcbf1bce06,7668.55,debit,bank-fee,AU00000,2023-08-26T08:18:52Z
transaction,789c87a0-d2fe-42e9-843c-5964370e4a83,posted,TRANSFER TO JOANNA SMITH CAMPING,-2718.78,bca6358e-393c-4168-b78c-1bf07846bc14,4949.77,debit,bank-fee,AU00000,2024-04-05T15:54:15Z
transaction,ade8c519-6161-452d-a470-f7690ba6d114,posted,Amazon Online Shopping,-761.29,968ec29c-16c0-43af-b8ee-aa054557a4bd,4188.48,debit,cash-withdrawal,AU00000,2023-08-18T00:43:02Z
transaction,5bcc8d99-1aa4-4c38-88b0-5535a958aabe,posted,Amazon Online Shopping,-4447.81,6cc0138b-8962-4190-8f23-4a563f6b6b8f,-259.33,debit,cash-withdrawal,AU00000,2024-01-17T10:23:15Z
transaction,a497fdc3-ad3f-4a82-8eae-7848123a6b07,posted,Coffee Shop Purchase,-1136.85,fd2bdd91-7093-4c87-ad51-082b1aed4c14,18547.96,debit,payment,AU00000,2023-07-28T03:10:51Z
transaction,5c3a1d2d-d580-4d4e-85eb-d9f782765e74,posted,Electricity Bill Payment,-4885.89,248031dd-5301-4c64-a638-15ac9103312e,13662.07,debit,payment,AU00000,2023-12-23T11:51:27Z
transaction,1c848541-705e-4efe-b079-78ea3f3992e7,posted,Travel Agency Booking,-3260.87,8f412ceb-06f1-4512-9aa6-1a149f46f094,10401.2,debit,bank-fee,AU00000,2023-10-10T21:52:20Z
transaction,b8f71c97-95ee-4b60-98ea-08e47bfd42a3,posted,Pharmacy Purchase,-2508.4,d52500a4-77e5-44e2-b715-bd382b20674d,7892.8,debit,bank-fee,AU00000,2023-11-12T05:58:09Z
transaction,761d180a-d8ec-4069-bc9d-8b9a2e5b1ec8,posted,AGL RETAIL ENERGY LTD (GAS),-603.54,0ecf15c2-41f3-437e-bf49-82f0674f99f0,7289.26,debit,cash-withdrawal,AU00000,2024-01-17T03:27:33Z
transaction,3acadd46-1fe9-4d45-8a5a-40f43431580c,posted,Netflix Subscription,-256.97,25910504-30b3-43ca-a0f7-e645c9153149,7032.29,debit,payment,AU00000,2024-02-15T13:37:56Z
transaction,44b6d408-b59c-4b54-b879-8ab8e971d95b,posted,Mobile Phone Bill Payment,-4005.79,60152e44-b1f9-42c4-9059-7ecfe7578c28,3026.5,debit,bank-fee,AU00000,2023-07-28T10:03:16Z
transaction,63f677fb-45c6-4dad-9345-9b5f1240c7d7,posted,Electricity Bill Payment,-282.97,fb7959bc-1cc8-4569-ad60-95211e63aca3,2743.53,debit,bank-fee,AU00000,2024-04-01T18:11:58Z
transaction,3ea9ffc4-dd3f-4086-b700-8c8de502e2c6,posted,TRANSFER TO JOANNA SMITH CAMPING,-736.32,467dd5e5-49e4-4547-97ac-0a9cdcee4781,2007.21,debit,cash-withdrawal,AU00000,2023-06-23T22:34:12Z
transaction,1b505ed7-bd37-42c9-8286-df7f9450e796,posted,Coffee Shop Purchase,-3977.1,e7ed5724-e34e-4f26-b845-7852851ec89e,-1969.89,debit,payment,AU00000,2023-08-01T00:48:23Z
transaction,5464b042-088e-4c81-b068-ef3902410297,posted,Movie Ticket Purchase,-3958.44,ac0a2173-5422-4602-a33b-b3f173809a71,5487.64,debit,bank-fee,AU00000,2023-11-14T12:56:12Z
transaction,a309d08c-875d-473e-a808-e2fa38ecacd5,posted,Mobile Phone Bill Payment,-1566.08,6fac5b3b-5745-4848-ba69-cd1aef89cd2e,3921.56,debit,cash-withdrawal,AU00000,2024-01-03T14:40:46Z
transaction,8246bb38-a69c-4793-bc71-b36061e771b9,posted,CTRLINK CARERS Ref: 998R6789201610974V,-2980.05,1f5d8be4-a5d9-486e-b470-b22627457338,941.51,debit,payment,AU00000,2023-12-29T06:05:28Z
transaction,ff20f788-dbcd-43a7-971e-7821580b88af,posted,Restaurant Dinner,-1592.56,65b0e2a8-1bda-4d67-a1e0-1defcbc6dfc6,-651.05,debit,cash-withdrawal,AU00000,2023-06-15T00:55:49Z
transaction,5b1b2703-4d04-40ad-835f-c94e448c5086,posted,Bookstore Purchase,-2652.18,d922d91f-ef20-4e1c-b4ce-f166b9739677,-3303.23,debit,payment,AU00000,2024-03-09T04:20:10Z
transaction,6b37a12a-ca11-413a-aef1-074b5431c630,posted,Mobile Phone Bill Payment,-2177.0,fe036686-19ba-4758-a30c-0b95d53004b5,-5480.23,debit,bank-fee,AU00000,2023-09-13T20:50:56Z
transaction,d0a0f243-f5a8-431a-8c09-c1ad87064085,posted,TFR Acc14000 TO 12389,-1628.99,faa1bb51-3c0a-4e3c-88fb-4d38d519d80a,-7109.22,debit,payment,AU00000,2023-07-21T17:15:49Z
transaction,1f134207-acc4-4e20-8cd7-fe8f38c4a166,posted,Amazon Online Shopping,-3636.76,d0d9dede-c1bb-4a05-84f1-01caed4dc23e,-10745.98,debit,cash-withdrawal,AU00000,2024-04-26T23:07:01Z
transaction,f64aaf06-3d7d-4be2-87e6-288dc7e98b6c,posted,Non Hooli ATM Withdrawal Fee,-3689.48,b332cff6-a8da-4c79-a603-d58854d68c53,-14435.46,debit,cash-withdrawal,AU00000,2023-10-23T05:41:57Z
transaction,2d52eff1-ea83-4aa4-8ede-645dee82949a,posted,Pharmacy Purchase,-4518.9,2fb169cc-61a5-4576-9c16-2405fdb9efb2,-18954.36,debit,payment,AU00000,2024-03-10T04:21:53Z
transaction,38aaecbc-dfa8-4cdd-8db6-40a0d27d3ae6,posted,Transfer Platnm Homeloan 346454,-1367.62,bfb7233c-7675-4ad7-8755-a5da46391fbe,11366.5,debit,cash-withdrawal,AU00000,2023-09-30T04:20:41Z
transaction,ae61ea1f-ac4f-4d9c-9301-cbaa0faeabff,posted,Uber Ride,-357.48,2fa5f3b1-59f3-4990-bb30-73af133112ed,11009.02,debit,bank-fee,AU00000,2023-11-27T19:46:32Z
